锔,鋦
锕,錒
锖,錆
锛,錛
锞,錁
锟,錕
锢,錮
锩,錈
锬,錟
锱,錙
锲,鍥
锴,鍇
锶,鍶
锷,鍔
锸,鍤
锼,鎪
锾,鍰
镂,鏤
锵,鏘
镄,鐨
镆,鏌
镉,鎘
镌,鐫
镏,鎦
镒,鎰
镓,鎵
镔,鑌
镖,鏢
镗,鏜
镘,鏝
镙,鏍
镛,鏞
镞,鏃
镟,鏇
镝,鏑
镡,鐔
镦,鐓
镧,鑭
镩,鑹
镪,鏹
镫,鐙
镬,鑊
镯,鐲
镱,鐿
镳,鑣
锺,鍾
穑,穡
鸠,鳩
鸢,鳶
鸨,鴇
鸩,鴆
鸪,鴣
鸫,鶇
鸬,鸕
鸲,鴝
鸱,鴟
鸶,鷥
鸸,鴯
鸷,鷙
鸹,鴰
鸺,鵂
鸾,鸞
鹁,鵓
鹂,鸝
鹄,鵠
鹆,鵒
鹇,鷴
鹈,鵜
鹉,鵡
鹋,鶓
鹌,鵪
鹎,鵯
鹑,鶉
鹕,鶘
鹗,鶚
鹚,鶿
鹛,鶥
鹜,鶩
鹞,鷂
鹣,鶼
鹦,鸚
鹧,鷓
鹨,鷚
鹩,鷯
鹪,鷦
鹫,鷲
鹬,鷸
鹭,鷺
鹳,鸛
疖,癤
疠,癘
疬,癧
疱,皰
痖,瘂
痨,癆
痫,癇
瘅,癉
瘗,瘞
瘘,瘺
瘿,癭
瘾,癮
癞,癩
癫,癲
窦,竇
窭,窶
裆,襠
裢,褳
裣,襝
裥,襉
褛,褸
褴,襤
皲,皸
耧,耬
聍,聹
聩,聵
顸,頇
颀,頎
颃,頏
颉,頡
颌,頜
颍,潁
颏,頦
颔,頷
颚,顎
颛,顓
颞,顳
颟,顢
颡,顙
颢,顥
颥,顬
颦,顰
虬,虯
虮,蟣
虿,蠆
蚬,蜆
蚝,蠔
蛎,蠣
蛏,蟶
蛱,蛺
蛲,蟯
蛳,螄
蛴,蠐
蝈,蟈
蝾,蠑
蝼,螻
螨,蟎
罂,罌
笃,篤
笕,筧
笾,籩
筚,篳
筝,箏
箦,簀
箧,篋
箨,籜
箪,簞
箫,簫
篑,簣
籁,籟
舣,艤
舻,艫
袅,裊
羟,羥
籼,秈
粝,糲
粜,糶
糁,糝
糇,餱
絷,縶
麸,麩
趱,趲
酽,釅
酾,釃
鹾,鹺
趸,躉
跄,蹌
跖,蹠
跞,躒
跷,蹺
跸,蹕
跹,躚
跻,躋
踬,躓
踯,躑
蹑,躡
蹒,蹣
蹰,躕
躏,躪
躜,躦
觞,觴
觯,觶
靓,靚
雳,靂
霁,霽
霭,靄
龀,齔
龃,齟
龅,齙
龆,齠
龇,齜
龈,齦
龉,齬
龊,齪
龌,齷
黾,黽
鼋,黿
鼍,鼉
隽,雋
雠,讎
銮,鑾
錾,鏨
鱿,魷
鲂,魴
鲅,鮁
鲆,鮃
鲇,鮎
鲈,鱸
稣,穌
鲋,鮒
鲎,鱟
鲐,鮐
鲑,鮭
鲒,鮚
鲔,鮪
鲕,鮞
鲚,鱭
鲛,鮫
鲞,鯗
鲟,鱘
鲠,鯁
鲡,鱺
鲢,鰱
鲣,鰹
鲥,鰣
鲦,鰷
鲧,鯀
鲨,鯊
鲩,鯇
鲫,鯽
鲭,鯖
鲮,鯪
鲰,鯫
鲱,鯡
鲲,鯤
鲳,鯧
鲴,鯝
鲵,鯢
鲶,鯰
鲷,鯛
鲻,鯔
鲼,鱝
鲽,鰈
鳄,鱷
鳅,鰍
鳆,鰒
鳇,鰉
鳊,鯿
鳌,鰲
鳍,鰭
鳎,鰨
鳏,鰥
鳐,鰩
鳔,鰾
鳕,鱈
鳗,鰻
鳜,鱖
鳝,鱔
鳟,鱒
鳢,鱧
鞑,韃
鞯,韉
鹘,鶻
髅,髏
髋,髖
髌,髕
魇,魘
魉,魎
飨,饗
餍,饜
鬓,鬢
黩,黷
鼹,鼴
